TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221212 123025 5 9 ,53.32816696,5.933893681,29.13,77.26,456,164°,,  3.53 m/s
UTC 221212 123030 5 9 ,53.32821655,5.934256554,29.14,77.15,456,166°,,  3.58 m/s
UTC 221212 123035 5 9 ,53.32826614,5.934627056,29.13,77.39,460,164°,,  3.00 m/s
UTC 221212 123040 5 9 ,53.32831573,5.934993267,29.15,77.18,451,164°,,  3.72 m/s
UTC 221212 123045 5 9 ,53.32836533,5.935359955,29.18,77.14,451,163°,,  2.34 m/s
UTC 221212 123050 5 9 ,53.32852936,5.935517311,29.63,328.3,461,164°,,  3.66 m/s
UTC 221212 123105 5 9 ,53.32843399,5.934481621,29.57,255.94,411,196°,,  4.04 m/s
UTC 221212 123110 5 9 ,53.32839584,5.934186935,29.52,256.43,420,174°,,  4.04 m/s
UTC 221212 123114 5 9 ,53.3283577,5.933897972,29.49,256.66,420,163°,,  2.74 m/s
UTC 221212 123120 5 9 ,53.32830048,5.933455944,29.4,256.51,409,188°,,  3.50 m/s
UTC 221212 123125 5 9 ,53.32825089,5.933086872,29.34,256.55,402,183°,,  4.07 m/s
UTC 221212 123130 5 9 ,53.32820129,5.932719708,29.27,256.47,402,186°,,  4.52 m/s
UTC 221212 123135 5 9 ,53.3281517,5.932354927,29.2,256.55,407,188°,,  4.13 m/s
UTC 221212 123140 5 9 ,53.32810211,5.931985378,29.12,256.58,409,186°,,  3.88 m/s
UTC 221212 123145 5 9 ,53.32805252,5.931618214,29.06,256.7,409,188°,,  4.16 m/s
UTC 221212 123150 5 9 ,53.32800293,5.931251526,28.99,256.54,413,190°,,  4.03 m/s
UTC 221212 123155 5 9 ,53.32807922,5.930993557,28.89,348.21,432,193°,,  4.30 m/s
UTC 221212 123210 5 9 ,53.32828522,5.931986809,29.27,77.19,463,183°,,  3.40 m/s
UTC 221212 123215 5 9 ,53.32833099,5.93235302,29.43,77.25,452,173°,,  3.56 m/s
UTC 221212 123220 5 9 ,53.32838058,5.932722092,29.52,77.07,456,170°,,  3.90 m/s
UTC 221212 123225 5 9 ,53.32843018,5.933089733,29.6,77.39,456,170°,,  3.85 m/s
UTC 221212 123230 5 9 ,53.32847977,5.93345499,29.75,77.18,456,176°,,  3.87 m/s
UTC 221212 123234 5 9 ,53.32852936,5.933823109,29.87,77.31,456,177°,,  2.89 m/s
UTC 221212 123240 5 9 ,53.32857895,5.934189796,29.97,77.23,452,171°,,  3.13 m/s
UTC 221212 123245 5 9 ,53.32862473,5.934557915,30.09,77.32,456,166°,,  3.87 m/s
UTC 221212 123250 5 9 ,53.32867432,5.934923649,30.16,77.72,459,173°,,  3.82 m/s
UTC 221212 123254 5 9 ,53.32871246,5.93521452,30.29,77.32,452,173°,,  3.89 m/s
UTC 221212 123300 5 9 ,53.3288765,5.935394764,30.74,331.96,456,157°,,  2.33 m/s
UTC 221212 123315 5 9 ,53.32878494,5.934343815,30.44,256.66,413,179°,,  3.38 m/s
UTC 221212 123319 5 9 ,53.32873535,5.93397522,30.28,256.44,407,184°,,  3.35 m/s
UTC 221212 123325 5 9 ,53.32868576,5.933610439,30.11,256.46,413,187°,,  3.92 m/s
UTC 221212 123330 5 9 ,53.32863617,5.933239937,29.94,256.68,413,184°,,  2.99 m/s
UTC 221212 123335 5 9 ,53.32859039,5.932872772,29.79,256.32,421,187°,,  3.31 m/s
UTC 221212 123340 5 9 ,53.3285408,5.932509422,29.63,256.45,416,173°,,  3.55 m/s
UTC 221212 123345 5 9 ,53.32849121,5.93214035,29.49,256.58,418,187°,,  3.62 m/s
UTC 221212 123350 5 9 ,53.32844162,5.931773186,29.31,256.6,421,187°,,  4.04 m/s
UTC 221212 123355 5 9 ,53.32839203,5.931406021,29.15,256.44,421,184°,,  3.95 m/s
