TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221222 112801 5 9 ,720,53.32962036,5.932340145,26.82,0,0,0,256.55,256.55,0.01,445,6,25,313,53,120,8.67,100072,125.42
UTC 221222 112802 5 9 ,721,53.32960892,5.932266712,26.78,0,0,0,256.66,256.66,0.01,439,5,25,314,53,120,8.67,100072,125.42
UTC 221222 112803 5 9 ,722,53.32960129,5.932193279,26.74,0,0,0,256.73,256.73,0.01,459,8,25,312,53,120,8.66,100071,125.42
UTC 221222 112804 5 9 ,723,53.32958984,5.932120323,26.74,0,0,0,256.87,256.87,0.01,450,7,25,313,53,120,8.65,100073,125.42
UTC 221222 112805 5 9 ,724,53.32958221,5.932047367,26.73,0,0,0,256.68,256.68,0.01,439,5,25,314,53,119,8.64,100072,125.42
UTC 221222 112806 5 9 ,725,53.32957077,5.931974411,26.7,0,0,0,256.76,256.76,0.01,435,5,25,314,53,120,8.63,100074,125.42
UTC 221222 112807 5 9 ,726,53.32956314,5.931901455,26.69,0,0,0,256.77,256.77,0.01,439,5,25,313,53,119,8.63,100064,125.42
UTC 221222 112808 5 9 ,727,53.3295517,5.931828499,26.66,0,0,0,256.5,256.5,0.01,464,9,25,315,53,119,8.61,100073,125.42
UTC 221222 112809 5 9 ,728,53.32954025,5.931755066,26.65,0,0,0,256.46,256.46,0.01,435,5,25,315,53,120,8.6,100073,125.42
UTC 221222 112810 5 9 ,729,53.32953262,5.931684494,26.62,0,0,0,256.84,256.84,0.01,450,7,25,315,53,119,8.6,100076,125.42
UTC 221222 112811 5 9 ,730,53.32952118,5.93160677,26.61,0,0,0,256.61,256.61,0.01,439,5,24,314,53,119,8.59,100073,125.42
UTC 221222 112812 5 9 ,731,53.32951355,5.931533337,26.58,0,0,0,256.61,256.61,0.01,450,7,25,315,53,119,8.58,100075,125.42
UTC 221222 112813 5 9 ,732,53.32950211,5.931461334,26.55,0,0,0,256.67,256.67,0.01,450,7,25,315,52,118,8.57,100074,125.42
UTC 221222 112814 5 9 ,733,53.32949448,5.931386948,26.51,0,0,0,256.78,256.78,0.01,454,8,25,314,53,120,8.56,100076,125.42
UTC 221222 112815 5 9 ,734,53.32948303,5.931314945,26.5,0,0,0,256.75,256.75,0.01,450,7,25,314,53,119,8.57,100072,125.42
UTC 221222 112816 5 9 ,735,53.32947159,5.931241036,26.49,0,0,0,256.64,256.64,0.01,450,7,25,315,53,120,8.57,100076,125.42
UTC 221222 112817 5 9 ,736,53.32946396,5.931168079,26.46,0,0,0,256.77,256.77,0.01,445,6,25,315,53,120,8.56,100068,125.42
UTC 221222 112818 5 9 ,737,53.32945251,5.931094647,26.44,0,0,0,256.86,256.86,0.01,459,8,25,315,52,119,8.56,100074,125.42
